TAX_PAYER_ID,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030,WT2031,WT2032
3351,1,1,1,1,1,1,1,1,1
3588,1,1,1,1,1,1,1,1,1
3596,1,1,1,1,1,1,1,1,1
3783,1,1,1,1,1,1,1,1,1
3902,1,1,1,1,1,1,1,1,1
3950,1,1,1,1,1,1,1,1,1
3969,1,1,1,1,1,1,1,1,1
3979,1,1,1,1,1,1,1,1,1
4016,1,1,1,1,1,1,1,1,1
4082,1,1,1,1,1,1,1,1,1
4120,1,1,1,1,1,1,1,1,1
4145,1,1,1,1,1,1,1,1,1
4169,1,1,1,1,1,1,1,1,1
4223,1,1,1,1,1,1,1,1,1
4491,1,1,1,1,1,1,1,1,1
4508,1,1,1,1,1,1,1,1,1
4514,1,1,1,1,1,1,1,1,1
4518,1,1,1,1,1,1,1,1,1
4526,1,1,1,1,1,1,1,1,1
4534,1,1,1,1,1,1,1,1,1
4874,1,1,1,1,1,1,1,1,1
4909,1,1,1,1,1,1,1,1,1
4912,1,1,1,1,1,1,1,1,1
4917,1,1,1,1,1,1,1,1,1
4956,1,1,1,1,1,1,1,1,1
5025,1,1,1,1,1,1,1,1,1
5113,1,1,1,1,1,1,1,1,1
5121,1,1,1,1,1,1,1,1,1
5160,1,1,1,1,1,1,1,1,1
5163,1,1,1,1,1,1,1,1,1
5212,1,1,1,1,1,1,1,1,1
5444,1,1,1,1,1,1,1,1,1
5462,1,1,1,1,1,1,1,1,1
5502,1,1,1,1,1,1,1,1,1
5515,1,1,1,1,1,1,1,1,1
5541,1,1,1,1,1,1,1,1,1
5555,1,1,1,1,1,1,1,1,1
5779,1,1,1,1,1,1,1,1,1
5782,1,1,1,1,1,1,1,1,1
5799,1,1,1,1,1,1,1,1,1
5822,1,1,1,1,1,1,1,1,1
5849,1,1,1,1,1,1,1,1,1
5926,1,1,1,1,1,1,1,1,1
5936,1,1,1,1,1,1,1,1,1
6062,1,1,1,1,1,1,1,1,1
6063,1,1,1,1,1,1,1,1,1
6064,1,1,1,1,1,1,1,1,1
6067,1,1,1,1,1,1,1,1,1
6080,1,1,1,1,1,1,1,1,1
6081,1,1,1,1,1,1,1,1,1
6129,1,1,1,1,1,1,1,1,1
6157,1,1,1,1,1,1,1,1,1
6206,1,1,1,1,1,1,1,1,1
6216,1,1,1,1,1,1,1,1,1
6228,1,1,1,1,1,1,1,1,1
6236,1,1,1,1,1,1,1,1,1
6285,1,1,1,1,1,1,1,1,1
6300,1,1,1,1,1,1,1,1,1
6312,1,1,1,1,1,1,1,1,1
6317,1,1,1,1,1,1,1,1,1
6331,1,1,1,1,1,1,1,1,1
6346,1,1,1,1,1,1,1,1,1
6350,1,1,1,1,1,1,1,1,1
6405,1,1,1,1,1,1,1,1,1
6407,1,1,1,1,1,1,1,1,1
6474,1,1,1,1,1,1,1,1,1
6477,1,1,1,1,1,1,1,1,1
6489,1,1,1,1,1,1,1,1,1
6490,1,1,1,1,1,1,1,1,1
6512,1,1,1,1,1,1,1,1,1
6522,1,1,1,1,1,1,1,1,1
6530,1,1,1,1,1,1,1,1,1
6569,1,1,1,1,1,1,1,1,1
6585,1,1,1,1,1,1,1,1,1
6688,1,1,1,1,1,1,1,1,1
6713,1,1,1,1,1,1,1,1,1
6773,1,1,1,1,1,1,1,1,1
6808,1,1,1,1,1,1,1,1,1
6878,1,1,1,1,1,1,1,1,1
6879,1,1,1,1,1,1,1,1,1
6880,1,1,1,1,1,1,1,1,1
6934,1,1,1,1,1,1,1,1,1
6962,1,1,1,1,1,1,1,1,1
6987,1,1,1,1,1,1,1,1,1
6989,1,1,1,1,1,1,1,1,1
7007,1,1,1,1,1,1,1,1,1
7080,1,1,1,1,1,1,1,1,1
7106,1,1,1,1,1,1,1,1,1
7136,1,1,1,1,1,1,1,1,1
7137,1,1,1,1,1,1,1,1,1
7208,1,1,1,1,1,1,1,1,1
7228,1,1,1,1,1,1,1,1,1
7268,1,1,1,1,1,1,1,1,1
7330,1,1,1,1,1,1,1,1,1
7339,1,1,1,1,1,1,1,1,1
7368,1,1,1,1,1,1,1,1,1
7383,1,1,1,1,1,1,1,1,1
7407,1,1,1,1,1,1,1,1,1
7425,1,1,1,1,1,1,1,1,1
7493,1,1,1,1,1,1,1,1,1
7551,1,1,1,1,1,1,1,1,1
7744,1,1,1,1,1,1,1,1,1
7750,1,1,1,1,1,1,1,1,1
7776,1,1,1,1,1,1,1,1,1
7787,1,1,1,1,1,1,1,1,1
7810,1,1,1,1,1,1,1,1,1
7832,1,1,1,1,1,1,1,1,1
7845,1,1,1,1,1,1,1,1,1
7960,1,1,1,1,1,1,1,1,1
7961,1,1,1,1,1,1,1,1,1
7966,1,1,1,1,1,1,1,1,1
8000,1,1,1,1,1,1,1,1,1
8020,1,1,1,1,1,1,1,1,1
8065,1,1,1,1,1,1,1,1,1
8118,1,1,1,1,1,1,1,1,1
8146,1,1,1,1,1,1,1,1,1
8148,1,1,1,1,1,1,1,1,1
8232,1,1,1,1,1,1,1,1,1
8269,1,1,1,1,1,1,1,1,1
8459,1,1,1,1,1,1,1,1,1
8476,1,1,1,1,1,1,1,1,1
8503,1,1,1,1,1,1,1,1,1
8529,1,1,1,1,1,1,1,1,1
8544,1,1,1,1,1,1,1,1,1
8556,1,1,1,1,1,1,1,1,1
8564,1,1,1,1,1,1,1,1,1
8599,1,1,1,1,1,1,1,1,1
8721,1,1,1,1,1,1,1,1,1
8762,1,1,1,1,1,1,1,1,1
8814,1,1,1,1,1,1,1,1,1
8839,1,1,1,1,1,1,1,1,1
8920,1,1,1,1,1,1,1,1,1
8994,1,1,1,1,1,1,1,1,1
9050,1,1,1,1,1,1,1,1,1
9092,1,1,1,1,1,1,1,1,1
9131,1,1,1,1,1,1,1,1,1
9159,1,1,1,1,1,1,1,1,1
9162,1,1,1,1,1,1,1,1,1
9301,1,1,1,1,1,1,1,1,1
9385,1,1,1,1,1,1,1,1,1
9578,1,1,1,1,1,1,1,1,1
9604,1,1,1,1,1,1,1,1,1
9648,1,1,1,1,1,1,1,1,1
9809,1,1,1,1,1,1,1,1,1
9992,1,1,1,1,1,1,1,1,1
10124,1,1,1,1,1,1,1,1,1
10283,1,1,1,1,1,1,1,1,1
10391,1,1,1,1,1,1,1,1,1
10417,1,1,1,1,1,1,1,1,1
10453,1,1,1,1,1,1,1,1,1
10483,1,1,1,1,1,1,1,1,1
10535,1,1,1,1,1,1,1,1,1
10636,1,1,1,1,1,1,1,1,1
10651,1,1,1,1,1,1,1,1,1
10864,1,1,1,1,1,1,1,1,1
10973,1,1,1,1,1,1,1,1,1
10989,1,1,1,1,1,1,1,1,1
10992,1,1,1,1,1,1,1,1,1
11012,1,1,1,1,1,1,1,1,1
11029,1,1,1,1,1,1,1,1,1
11055,1,1,1,1,1,1,1,1,1
11245,1,1,1,1,1,1,1,1,1
11286,1,1,1,1,1,1,1,1,1
11332,1,1,1,1,1,1,1,1,1
11387,1,1,1,1,1,1,1,1,1
11444,1,1,1,1,1,1,1,1,1
11498,1,1,1,1,1,1,1,1,1
11575,1,1,1,1,1,1,1,1,1
11582,1,1,1,1,1,1,1,1,1
11657,1,1,1,1,1,1,1,1,1
11728,1,1,1,1,1,1,1,1,1
11741,1,1,1,1,1,1,1,1,1
12441,1,1,1,1,1,1,1,1,1
12568,1,1,1,1,1,1,1,1,1
12573,1,1,1,1,1,1,1,1,1
12726,1,1,1,1,1,1,1,1,1
12756,1,1,1,1,1,1,1,1,1
12985,1,1,1,1,1,1,1,1,1
13105,1,1,1,1,1,1,1,1,1
13412,1,1,1,1,1,1,1,1,1
13477,1,1,1,1,1,1,1,1,1
13538,1,1,1,1,1,1,1,1,1
13568,1,1,1,1,1,1,1,1,1
13647,1,1,1,1,1,1,1,1,1
13717,1,1,1,1,1,1,1,1,1
13746,1,1,1,1,1,1,1,1,1
13880,1,1,1,1,1,1,1,1,1
13929,1,1,1,1,1,1,1,1,1
13950,1,1,1,1,1,1,1,1,1
13982,1,1,1,1,1,1,1,1,1
14053,1,1,1,1,1,1,1,1,1
14135,1,1,1,1,1,1,1,1,1
14137,1,1,1,1,1,1,1,1,1
14202,1,1,1,1,1,1,1,1,1
14222,1,1,1,1,1,1,1,1,1
14224,1,1,1,1,1,1,1,1,1
14529,1,1,1,1,1,1,1,1,1
14536,1,1,1,1,1,1,1,1,1
14563,1,1,1,1,1,1,1,1,1
14796,1,1,1,1,1,1,1,1,1
14923,1,1,1,1,1,1,1,1,1
14978,1,1,1,1,1,1,1,1,1
15353,1,1,1,1,1,1,1,1,1
15368,1,1,1,1,1,1,1,1,1
15427,1,1,1,1,1,1,1,1,1
15501,1,1,1,1,1,1,1,1,1
15568,1,1,1,1,1,1,1,1,1
15874,1,1,1,1,1,1,1,1,1
15926,1,1,1,1,1,1,1,1,1
15975,1,1,1,1,1,1,1,1,1
16047,1,1,1,1,1,1,1,1,1
16320,1,1,1,1,1,1,1,1,1
16372,1,1,1,1,1,1,1,1,1
16427,1,1,1,1,1,1,1,1,1
16459,1,1,1,1,1,1,1,1,1
16521,1,1,1,1,1,1,1,1,1
16525,1,1,1,1,1,1,1,1,1
16571,1,1,1,1,1,1,1,1,1
16692,1,1,1,1,1,1,1,1,1
16841,1,1,1,1,1,1,1,1,1
16848,1,1,1,1,1,1,1,1,1
16874,1,1,1,1,1,1,1,1,1
16885,1,1,1,1,1,1,1,1,1
16894,1,1,1,1,1,1,1,1,1
16939,1,1,1,1,1,1,1,1,1
16958,1,1,1,1,1,1,1,1,1
16997,1,1,1,1,1,1,1,1,1
17106,1,1,1,1,1,1,1,1,1
17162,1,1,1,1,1,1,1,1,1
17242,1,1,1,1,1,1,1,1,1
17332,1,1,1,1,1,1,1,1,1
17434,1,1,1,1,1,1,1,1,1
17534,1,1,1,1,1,1,1,1,1
17553,1,1,1,1,1,1,1,1,1
17602,1,1,1,1,1,1,1,1,1
17799,1,1,1,1,1,1,1,1,1
17914,1,1,1,1,1,1,1,1,1
18264,1,1,1,1,1,1,1,1,1
18428,1,1,1,1,1,1,1,1,1
18477,1,1,1,1,1,1,1,1,1
18523,1,1,1,1,1,1,1,1,1
18564,1,1,1,1,1,1,1,1,1
18688,1,1,1,1,1,1,1,1,1
18770,1,1,1,1,1,1,1,1,1
18812,1,1,1,1,1,1,1,1,1
18815,1,1,1,1,1,1,1,1,1
18820,1,1,1,1,1,1,1,1,1
18942,1,1,1,1,1,1,1,1,1
19161,1,1,1,1,1,1,1,1,1
19289,1,1,1,1,1,1,1,1,1
19352,1,1,1,1,1,1,1,1,1
19433,1,1,1,1,1,1,1,1,1
19468,1,1,1,1,1,1,1,1,1
19524,1,1,1,1,1,1,1,1,1
19539,1,1,1,1,1,1,1,1,1
19587,1,1,1,1,1,1,1,1,1
19619,1,1,1,1,1,1,1,1,1
19664,1,1,1,1,1,1,1,1,1
19672,1,1,1,1,1,1,1,1,1
19771,1,1,1,1,1,1,1,1,1
19824,1,1,1,1,1,1,1,1,1
19853,1,1,1,1,1,1,1,1,1
19868,1,1,1,1,1,1,1,1,1
19871,1,1,1,1,1,1,1,1,1
19908,1,1,1,1,1,1,1,1,1
19963,1,1,1,1,1,1,1,1,1
20158,1,1,1,1,1,1,1,1,1
20195,1,1,1,1,1,1,1,1,1
20373,1,1,1,1,1,1,1,1,1
20431,1,1,1,1,1,1,1,1,1
20474,1,1,1,1,1,1,1,1,1
20566,1,1,1,1,1,1,1,1,1
20576,1,1,1,1,1,1,1,1,1
20609,1,1,1,1,1,1,1,1,1
20753,1,1,1,1,1,1,1,1,1
20876,1,1,1,1,1,1,1,1,1
21340,1,1,1,1,1,1,1,1,1
21357,1,1,1,1,1,1,1,1,1
21674,1,1,1,1,1,1,1,1,1
21694,1,1,1,1,1,1,1,1,1
21721,1,1,1,1,1,1,1,1,1
21868,1,1,1,1,1,1,1,1,1
21900,1,1,1,1,1,1,1,1,1
21920,1,1,1,1,1,1,1,1,1
22084,1,1,1,1,1,1,1,1,1
22265,1,1,1,1,1,1,1,1,1
22277,1,1,1,1,1,1,1,1,1
22282,1,1,1,1,1,1,1,1,1
22329,1,1,1,1,1,1,1,1,1
22351,1,1,1,1,1,1,1,1,1
22401,1,1,1,1,1,1,1,1,1
22412,1,1,1,1,1,1,1,1,1
22610,1,1,1,1,1,1,1,1,1
22699,1,1,1,1,1,1,1,1,1
22805,1,1,1,1,1,1,1,1,1
22860,1,1,1,1,1,1,1,1,1
23049,1,1,1,1,1,1,1,1,1
23056,1,1,1,1,1,1,1,1,1
23093,1,1,1,1,1,1,1,1,1
23266,1,1,1,1,1,1,1,1,1
23292,1,1,1,1,1,1,1,1,1
23344,1,1,1,1,1,1,1,1,1
23357,1,1,1,1,1,1,1,1,1
23377,1,1,1,1,1,1,1,1,1
23459,1,1,1,1,1,1,1,1,1
23650,1,1,1,1,1,1,1,1,1
23719,1,1,1,1,1,1,1,1,1
23730,1,1,1,1,1,1,1,1,1
23771,1,1,1,1,1,1,1,1,1
23785,1,1,1,1,1,1,1,1,1
23840,1,1,1,1,1,1,1,1,1
23861,1,1,1,1,1,1,1,1,1
23895,1,1,1,1,1,1,1,1,1
23933,1,1,1,1,1,1,1,1,1
23950,1,1,1,1,1,1,1,1,1
24005,1,1,1,1,1,1,1,1,1
24230,1,1,1,1,1,1,1,1,1
24309,1,1,1,1,1,1,1,1,1
24389,1,1,1,1,1,1,1,1,1
24429,1,1,1,1,1,1,1,1,1
24460,1,1,1,1,1,1,1,1,1
24469,1,1,1,1,1,1,1,1,1
24533,1,1,1,1,1,1,1,1,1
24562,1,1,1,1,1,1,1,1,1
24606,1,1,1,1,1,1,1,1,1
24725,1,1,1,1,1,1,1,1,1
24898,1,1,1,1,1,1,1,1,1
25074,1,1,1,1,1,1,1,1,1
25191,1,1,1,1,1,1,1,1,1
25206,1,1,1,1,1,1,1,1,1
25225,1,1,1,1,1,1,1,1,1
25237,1,1,1,1,1,1,1,1,1
25328,1,1,1,1,1,1,1,1,1
25369,1,1,1,1,1,1,1,1,1
25377,1,1,1,1,1,1,1,1,1
25536,1,1,1,1,1,1,1,1,1
25611,1,1,1,1,1,1,1,1,1
25650,1,1,1,1,1,1,1,1,1
25660,1,1,1,1,1,1,1,1,1
25679,1,1,1,1,1,1,1,1,1
25702,1,1,1,1,1,1,1,1,1
25706,1,1,1,1,1,1,1,1,1
25707,1,1,1,1,1,1,1,1,1
25719,1,1,1,1,1,1,1,1,1
25741,1,1,1,1,1,1,1,1,1
25783,1,1,1,1,1,1,1,1,1
25938,1,1,1,1,1,1,1,1,1
25997,1,1,1,1,1,1,1,1,1
26009,1,1,1,1,1,1,1,1,1
26027,1,1,1,1,1,1,1,1,1
26037,1,1,1,1,1,1,1,1,1
26224,1,1,1,1,1,1,1,1,1
26250,1,1,1,1,1,1,1,1,1
26274,1,1,1,1,1,1,1,1,1
26339,1,1,1,1,1,1,1,1,1
26381,1,1,1,1,1,1,1,1,1
26389,1,1,1,1,1,1,1,1,1
26394,1,1,1,1,1,1,1,1,1
26415,1,1,1,1,1,1,1,1,1
26432,1,1,1,1,1,1,1,1,1
26527,1,1,1,1,1,1,1,1,1
26587,1,1,1,1,1,1,1,1,1
26636,1,1,1,1,1,1,1,1,1
26652,1,1,1,1,1,1,1,1,1
26698,1,1,1,1,1,1,1,1,1
26737,1,1,1,1,1,1,1,1,1
26757,1,1,1,1,1,1,1,1,1
26882,1,1,1,1,1,1,1,1,1
26968,1,1,1,1,1,1,1,1,1
27023,1,1,1,1,1,1,1,1,1
27223,1,1,1,1,1,1,1,1,1
27241,1,1,1,1,1,1,1,1,1
27294,1,1,1,1,1,1,1,1,1
27324,1,1,1,1,1,1,1,1,1
27537,1,1,1,1,1,1,1,1,1
27542,1,1,1,1,1,1,1,1,1
27563,1,1,1,1,1,1,1,1,1
27615,1,1,1,1,1,1,1,1,1
27639,1,1,1,1,1,1,1,1,1
27666,1,1,1,1,1,1,1,1,1
27726,1,1,1,1,1,1,1,1,1
27813,1,1,1,1,1,1,1,1,1
27837,1,1,1,1,1,1,1,1,1
27846,1,1,1,1,1,1,1,1,1
27926,1,1,1,1,1,1,1,1,1
27955,1,1,1,1,1,1,1,1,1
27960,1,1,1,1,1,1,1,1,1
27997,1,1,1,1,1,1,1,1,1
28183,1,1,1,1,1,1,1,1,1
28398,1,1,1,1,1,1,1,1,1
28496,1,1,1,1,1,1,1,1,1
28595,1,1,1,1,1,1,1,1,1
28615,1,1,1,1,1,1,1,1,1
28649,1,1,1,1,1,1,1,1,1
28816,1,1,1,1,1,1,1,1,1
28867,1,1,1,1,1,1,1,1,1
29025,1,1,1,1,1,1,1,1,1
29051,1,1,1,1,1,1,1,1,1
29074,1,1,1,1,1,1,1,1,1
29135,1,1,1,1,1,1,1,1,1
29247,1,1,1,1,1,1,1,1,1
29256,1,1,1,1,1,1,1,1,1
29522,1,1,1,1,1,1,1,1,1
29642,1,1,1,1,1,1,1,1,1
29750,1,1,1,1,1,1,1,1,1
29817,1,1,1,1,1,1,1,1,1
29887,1,1,1,1,1,1,1,1,1
29999,1,1,1,1,1,1,1,1,1
30057,1,1,1,1,1,1,1,1,1
30384,1,1,1,1,1,1,1,1,1
30493,1,1,1,1,1,1,1,1,1
30539,1,1,1,1,1,1,1,1,1
30591,1,1,1,1,1,1,1,1,1
30769,1,1,1,1,1,1,1,1,1
30971,1,1,1,1,1,1,1,1,1
31117,1,1,1,1,1,1,1,1,1
31128,1,1,1,1,1,1,1,1,1
31202,1,1,1,1,1,1,1,1,1
31334,1,1,1,1,1,1,1,1,1
31447,1,1,1,1,1,1,1,1,1
31481,1,1,1,1,1,1,1,1,1
31641,1,1,1,1,1,1,1,1,1
31671,1,1,1,1,1,1,1,1,1
31911,1,1,1,1,1,1,1,1,1
31936,1,1,1,1,1,1,1,1,1
31982,1,1,1,1,1,1,1,1,1
32273,1,1,1,1,1,1,1,1,1
32357,1,1,1,1,1,1,1,1,1
32360,1,1,1,1,1,1,1,1,1
32416,1,1,1,1,1,1,1,1,1
32458,1,1,1,1,1,1,1,1,1
32521,1,1,1,1,1,1,1,1,1
32624,1,1,1,1,1,1,1,1,1
32627,1,1,1,1,1,1,1,1,1
32645,1,1,1,1,1,1,1,1,1
32660,1,1,1,1,1,1,1,1,1
32776,1,1,1,1,1,1,1,1,1
32802,1,1,1,1,1,1,1,1,1
32852,1,1,1,1,1,1,1,1,1
32882,1,1,1,1,1,1,1,1,1
32906,1,1,1,1,1,1,1,1,1
33045,1,1,1,1,1,1,1,1,1
33120,1,1,1,1,1,1,1,1,1
33150,1,1,1,1,1,1,1,1,1
33324,1,1,1,1,1,1,1,1,1
33392,1,1,1,1,1,1,1,1,1
33567,1,1,1,1,1,1,1,1,1
33849,1,1,1,1,1,1,1,1,1
33894,1,1,1,1,1,1,1,1,1
33937,1,1,1,1,1,1,1,1,1
34138,1,1,1,1,1,1,1,1,1
34207,1,1,1,1,1,1,1,1,1
34250,1,1,1,1,1,1,1,1,1
34278,1,1,1,1,1,1,1,1,1
34304,1,1,1,1,1,1,1,1,1
34317,1,1,1,1,1,1,1,1,1
34341,1,1,1,1,1,1,1,1,1
34413,1,1,1,1,1,1,1,1,1
34605,1,1,1,1,1,1,1,1,1
34642,1,1,1,1,1,1,1,1,1
34703,1,1,1,1,1,1,1,1,1
35005,1,1,1,1,1,1,1,1,1
35344,1,1,1,1,1,1,1,1,1
35356,1,1,1,1,1,1,1,1,1
35363,1,1,1,1,1,1,1,1,1
35424,1,1,1,1,1,1,1,1,1
35508,1,1,1,1,1,1,1,1,1
35531,1,1,1,1,1,1,1,1,1
35542,1,1,1,1,1,1,1,1,1
35591,1,1,1,1,1,1,1,1,1
35638,1,1,1,1,1,1,1,1,1
35640,1,1,1,1,1,1,1,1,1
35652,1,1,1,1,1,1,1,1,1
35842,1,1,1,1,1,1,1,1,1
36206,1,1,1,1,1,1,1,1,1
36376,1,1,1,1,1,1,1,1,1
36683,1,1,1,1,1,1,1,1,1
36951,1,1,1,1,1,1,1,1,1
37079,1,1,1,1,1,1,1,1,1
37324,1,1,1,1,1,1,1,1,1
37345,1,1,1,1,1,1,1,1,1
37393,1,1,1,1,1,1,1,1,1
37607,1,1,1,1,1,1,1,1,1
37791,1,1,1,1,1,1,1,1,1
37808,1,1,1,1,1,1,1,1,1
37865,1,1,1,1,1,1,1,1,1
37904,1,1,1,1,1,1,1,1,1
37915,1,1,1,1,1,1,1,1,1
37969,1,1,1,1,1,1,1,1,1
37973,1,1,1,1,1,1,1,1,1
38030,1,1,1,1,1,1,1,1,1
38237,1,1,1,1,1,1,1,1,1
38329,1,1,1,1,1,1,1,1,1
38345,1,1,1,1,1,1,1,1,1
38433,1,1,1,1,1,1,1,1,1
38656,1,1,1,1,1,1,1,1,1
38867,1,1,1,1,1,1,1,1,1
38909,1,1,1,1,1,1,1,1,1
38940,1,1,1,1,1,1,1,1,1
39102,1,1,1,1,1,1,1,1,1
39207,1,1,1,1,1,1,1,1,1
39254,1,1,1,1,1,1,1,1,1
39399,1,1,1,1,1,1,1,1,1
39558,1,1,1,1,1,1,1,1,1
39640,1,1,1,1,1,1,1,1,1
39732,1,1,1,1,1,1,1,1,1
39798,1,1,1,1,1,1,1,1,1
39847,1,1,1,1,1,1,1,1,1
39858,1,1,1,1,1,1,1,1,1
39895,1,1,1,1,1,1,1,1,1
39934,1,1,1,1,1,1,1,1,1
40150,1,1,1,1,1,1,1,1,1
40321,1,1,1,1,1,1,1,1,1
40565,1,1,1,1,1,1,1,1,1
40572,1,1,1,1,1,1,1,1,1
40602,1,1,1,1,1,1,1,1,1
40612,1,1,1,1,1,1,1,1,1
40713,1,1,1,1,1,1,1,1,1
40774,1,1,1,1,1,1,1,1,1
40824,1,1,1,1,1,1,1,1,1
40896,1,1,1,1,1,1,1,1,1
41380,1,1,1,1,1,1,1,1,1
41399,1,1,1,1,1,1,1,1,1
41426,1,1,1,1,1,1,1,1,1
41430,1,1,1,1,1,1,1,1,1
41445,1,1,1,1,1,1,1,1,1
41481,1,1,1,1,1,1,1,1,1
41601,1,1,1,1,1,1,1,1,1
41735,1,1,1,1,1,1,1,1,1
41770,1,1,1,1,1,1,1,1,1
41848,1,1,1,1,1,1,1,1,1
41903,1,1,1,1,1,1,1,1,1
42157,1,1,1,1,1,1,1,1,1
42340,1,1,1,1,1,1,1,1,1
42358,1,1,1,1,1,1,1,1,1
42563,1,1,1,1,1,1,1,1,1
42572,1,1,1,1,1,1,1,1,1
42606,1,1,1,1,1,1,1,1,1
42618,1,1,1,1,1,1,1,1,1
42723,1,1,1,1,1,1,1,1,1
42825,1,1,1,1,1,1,1,1,1
42916,1,1,1,1,1,1,1,1,1
42956,1,1,1,1,1,1,1,1,1
43022,1,1,1,1,1,1,1,1,1
43319,1,1,1,1,1,1,1,1,1
43320,1,1,1,1,1,1,1,1,1
43370,1,1,1,1,1,1,1,1,1
43379,1,1,1,1,1,1,1,1,1
43575,1,1,1,1,1,1,1,1,1
43658,1,1,1,1,1,1,1,1,1
43670,1,1,1,1,1,1,1,1,1
43697,1,1,1,1,1,1,1,1,1
43736,1,1,1,1,1,1,1,1,1
43738,1,1,1,1,1,1,1,1,1
43772,1,1,1,1,1,1,1,1,1
43944,1,1,1,1,1,1,1,1,1
43970,1,1,1,1,1,1,1,1,1
44180,1,1,1,1,1,1,1,1,1
44321,1,1,1,1,1,1,1,1,1
44353,1,1,1,1,1,1,1,1,1
44408,1,1,1,1,1,1,1,1,1
44578,1,1,1,1,1,1,1,1,1
44617,1,1,1,1,1,1,1,1,1
44639,1,1,1,1,1,1,1,1,1
44791,1,1,1,1,1,1,1,1,1
45004,1,1,1,1,1,1,1,1,1
45153,1,1,1,1,1,1,1,1,1
45167,1,1,1,1,1,1,1,1,1
45197,1,1,1,1,1,1,1,1,1
45208,1,1,1,1,1,1,1,1,1
45551,1,1,1,1,1,1,1,1,1
45616,1,1,1,1,1,1,1,1,1
45627,1,1,1,1,1,1,1,1,1
45665,1,1,1,1,1,1,1,1,1
45874,1,1,1,1,1,1,1,1,1
45955,1,1,1,1,1,1,1,1,1
45967,1,1,1,1,1,1,1,1,1
46145,1,1,1,1,1,1,1,1,1
46159,1,1,1,1,1,1,1,1,1
46185,1,1,1,1,1,1,1,1,1
46206,1,1,1,1,1,1,1,1,1
46210,1,1,1,1,1,1,1,1,1
46265,1,1,1,1,1,1,1,1,1
46450,1,1,1,1,1,1,1,1,1
46459,1,1,1,1,1,1,1,1,1
46487,1,1,1,1,1,1,1,1,1
46488,1,1,1,1,1,1,1,1,1
46576,1,1,1,1,1,1,1,1,1
46615,1,1,1,1,1,1,1,1,1
46707,1,1,1,1,1,1,1,1,1
46731,1,1,1,1,1,1,1,1,1
46839,1,1,1,1,1,1,1,1,1
46850,1,1,1,1,1,1,1,1,1
46886,1,1,1,1,1,1,1,1,1
47003,1,1,1,1,1,1,1,1,1
47094,1,1,1,1,1,1,1,1,1
47097,1,1,1,1,1,1,1,1,1
47126,1,1,1,1,1,1,1,1,1
47254,1,1,1,1,1,1,1,1,1
47369,1,1,1,1,1,1,1,1,1
47460,1,1,1,1,1,1,1,1,1
47844,1,1,1,1,1,1,1,1,1
47858,1,1,1,1,1,1,1,1,1
47866,1,1,1,1,1,1,1,1,1
47885,1,1,1,1,1,1,1,1,1
47893,1,1,1,1,1,1,1,1,1
47909,1,1,1,1,1,1,1,1,1
48020,1,1,1,1,1,1,1,1,1
48029,1,1,1,1,1,1,1,1,1
48033,1,1,1,1,1,1,1,1,1
48392,1,1,1,1,1,1,1,1,1
48435,1,1,1,1,1,1,1,1,1
48497,1,1,1,1,1,1,1,1,1
48556,1,1,1,1,1,1,1,1,1
